id,user_id,course_id,time_created
430086,136,721,2021-09-28 09:17:23.807408
389446,137,721,2021-09-05 09:35:29.834054
470095,138,721,2021-10-25 12:13:00.931032
459716,139,721,2021-10-15 11:55:23.133939
405248,140,721,2021-09-15 19:10:26.097570
388100,141,721,2021-09-04 14:46:17.107311
474092,142,721,2021-10-27 13:17:47.373365
418497,143,721,2021-09-22 07:54:22.008284
417496,144,721,2021-09-21 16:42:00.308518
427158,145,721,2021-09-26 18:07:02.909805
423515,146,721,2021-09-24 15:19:07.957640
403053,147,721,2021-09-15 05:10:23.120440
412536,148,721,2021-09-19 11:40:50.502840
394389,149,721,2021-09-08 13:13:59.107443
433908,150,721,2021-09-29 18:48:22.707173
387029,151,721,2021-09-04 08:08:53.287245
439729,152,721,2021-10-02 03:00:13.971340
479156,153,721,2021-10-30 17:38:44.500312
446411,154,721,2021-10-06 08:30:45.830447
438790,155,721,2021-10-01 14:38:43.907431
470655,156,721,2021-10-25 19:29:43.696208
405862,157,721,2021-09-16 07:33:59.014534
392537,158,721,2021-09-07 08:33:54.007252
394038,159,721,2021-09-08 09:03:42.122145
397244,160,721,2021-09-10 14:46:04.285717
460838,161,721,2021-10-16 16:23:10.960438
437800,162,721,2021-10-01 08:02:40.707287
476576,163,721,2021-10-28 18:16:05.508366
418311,164,721,2021-09-22 06:00:15.107374
429306,165,721,2021-09-27 18:50:00.407699
416025,166,721,2021-09-21 06:09:55.043384
406006,167,721,2021-09-16 09:14:42.068916
440391,168,721,2021-10-02 12:33:20.607352
444225,169,721,2021-10-04 19:19:05.570958
441038,170,721,2021-10-02 19:59:59.814857
429043,171,721,2021-09-27 17:03:21.107369
390765,172,721,2021-09-05 21:33:40.717192
471389,173,721,2021-10-26 11:25:42.107883
450087,174,721,2021-10-07 20:18:40.107467
454556,175,721,2021-10-12 03:48:52.178786
421248,176,721,2021-09-23 11:17:34.324995
426116,177,721,2021-09-26 08:41:09.721206
427762,178,721,2021-09-27 07:29:47.507534
391940,179,721,2021-09-06 17:16:46.607236
414464,180,721,2021-09-20 14:05:59.507319
393157,181,721,2021-09-07 15:50:57.007328
409290,182,721,2021-09-17 15:44:28.313298
439904,183,721,2021-10-02 06:41:13.449917
453393,184,721,2021-10-11 05:12:08.993550
383002,185,721,2021-09-02 11:35:58.170567
435468,186,721,2021-09-30 14:28:10.107512
473745,187,721,2021-10-27 10:47:04.165864
441985,188,721,2021-10-03 12:02:47.107380
443113,189,721,2021-10-04 06:20:26.417238
392664,190,721,2021-09-07 10:15:20.051306
427842,191,721,2021-09-27 08:17:25.407514
435178,192,721,2021-09-30 13:09:56.307560
389422,193,721,2021-09-05 09:26:35.046640
419028,194,721,2021-09-22 11:47:16.809274
417886,195,721,2021-09-21 19:07:39.380487
417843,196,721,2021-09-21 18:54:57.245058
402955,197,721,2021-09-15 00:00:57.998901
416946,198,721,2021-09-21 13:27:51.307515
424181,199,721,2021-09-24 22:00:26.507090
412801,200,721,2021-09-19 14:08:46.535538
443986,201,721,2021-10-04 17:06:14.954090
400487,202,721,2021-09-13 07:26:51.910992
417722,203,721,2021-09-21 18:06:38.710202
421452,204,721,2021-09-23 13:12:40.307329
472626,205,721,2021-10-26 18:47:54.520845
457148,206,721,2021-10-13 14:45:16.607588
413949,207,721,2021-09-20 10:14:15.049071
463894,208,721,2021-10-19 17:29:21.384478
419788,209,721,2021-09-22 15:47:24.448200
473519,210,721,2021-10-27 08:56:10.226802
469123,211,721,2021-10-24 14:09:42.149082
392740,212,721,2021-09-07 11:16:06.327118
418505,213,721,2021-09-22 07:56:16.207459
432279,214,721,2021-09-29 08:14:26.307238
418159,215,721,2021-09-22 03:11:42.907228
458940,216,721,2021-10-14 16:50:48.706643
389243,217,721,2021-09-05 07:54:03.839689
394483,218,721,2021-09-08 14:09:37.643282
462998,219,721,2021-10-19 06:08:26.234077
472055,220,721,2021-10-26 15:55:56.108557
423238,221,721,2021-09-24 12:57:56.699760
416553,222,721,2021-09-21 11:09:01.185809
463350,223,721,2021-10-19 11:56:13.156782
448212,224,721,2021-10-07 02:39:21.607370
381380,225,721,2021-09-01 15:24:00.220901
406298,226,721,2021-09-16 11:57:08.345684
480609,227,721,2021-10-31 15:45:05.929551
395189,228,721,2021-09-09 05:28:21.107372
402355,229,721,2021-09-14 14:39:53.774347
461664,230,721,2021-10-17 18:42:11.616514
461428,231,721,2021-10-17 13:36:40.204706
394367,232,721,2021-09-08 13:01:39.525161
465191,233,721,2021-10-20 17:04:26.359113
451836,234,721,2021-10-09 11:01:24.919464
475874,235,721,2021-10-28 12:03:14.375362
